category,comment_text,created_time,source
negative,Ou sont les nos points merci c 'est pas sérieux? ??,2018-01-02T14:30:58+0000,facebook
negative,N9ollou mech tkoun amset 7keya fi 2018 bditou biha 9bel mayebda el3am,2018-01-02T16:07:45+0000,facebook
negative,Slm belhy 3andi flybox n7eb n3ml fofait partagée ma7bch yt3dali mafhemtch 3lech,2018-01-01T19:28:05+0000,facebook
positive,"Bonjour , brabi wa9tech el versement mta3 les points merci",2018-01-02T09:53:14+0000,facebook
negative,Andi l'offre hethi majani Hatta bonus ???? chrgit 1000,2018-01-01T18:35:07+0000,facebook
negative, brabi benesba fix jdif zone saturé faméch 7al ,2018-01-02T10:57:04+0000,facebook
negative,Winhom points merci !!!??   Majeni chay,2018-01-02T07:46:16+0000,facebook
negative,Brabi mazel menou hetha !!,2018-01-01T23:38:02+0000,facebook
negative, Akahaw teser9ou men mouwaten w ta3tiw el mouwaten e5er ..ken bataltou ser9a 5ir,2018-01-02T13:43:36+0000,facebook
positive, Ana n7eb na3mel internet wifi Ilimite w neb na3ref kifeh 7aja o5ra ena n7eb barcha ooredoo w man7ebch nbadalha ama 3andi mochkelt réseau d3if,2018-01-01T20:32:35+0000,facebook
negative,Brabi kifech najem nethassel 3la morched betaliphoune rahom el flous ili nchargihom yesser9ouhomli kifech na3mel,2018-01-02T14:35:39+0000,facebook
negative,brbi sabbit barcha marrat  ichtrak internet  mte3 900. mlmes 5 d9aye9 w youfa ???,2018-01-01T17:50:05+0000,facebook
negative,Ooredoo dima tondher l9odemba3thetlek fatoura wenti ma3andekch adsl aslan hh mana3rafech ech tsanfou ta7ayoul wala fawdha ser9a w tbourib,2018-01-01T15:50:12+0000,facebook
negative,bnj brabi ena 3andi offre family awal  tjini 100 sms manjemch nab3th menhom t9osouli m solde pourquoi,2018-01-01T14:14:04+0000,facebook
negative,N7eb traj3ouli telifouni 3andou chahrin yetsala7 3andkom fel garantie w yeziw mel tbal3it,2018-01-01T13:03:41+0000,facebook
negative,Bellahi na k nsob flous ma yjinich bonus wa3lah,2018-01-01T15:54:45+0000,facebook
negative,echneya ha zyedet ????,2018-01-01T16:52:15+0000,facebook
positive, iphone X  Manjmtch nmarkik y ooredoo ama rak mn shaby ahahhaah ???? ,2018-01-01T12:02:48+0000,facebook
positive,Enheb talifoun Samsung s8 hadhi emniti w ech5as kan tetha9ak em3a ooredoo,2018-01-01T14:54:19+0000,facebook
negative,Brabi andi l internet khalsa ou metimchichi kifech brabi haka,2018-01-01T14:13:24+0000,facebook
positive,"Fel ""marketing"" surtt le visuel, manajmouch nahkiw aala haja fetit bech nonkrouha",Mon Jan 1 22:45:08 WAT 2018,twitter
positive, bellehi followinaaaa!!,Mon Jan 1 22:36:24 WAT 2018,twitter
positive,nhebboukom w nakrhou orange 💩,Mon Jan 01 21:59:44 WAT 2018,twitter
negative,andi 5at ooredoo mzayen bih telifoun w manesta3mlouch 5sart barcha flous m3aha,Mon Jan 01 18:30:34 WAT 2018,twitter
negative, clients ma3andhomch 9ima 3and ooredoo ,Sun Dec 31 02:01:07 WAT 2017,twitter
negative, bara sala7 el réseau 9alou chargi ,Sat Dec 30 21:36:34 WAT 2017,twitter
negative,Ta7ki bjedek ?,Sat Dec 30 19:20:12 WAT 2017,twitter
positive,Iphone x mayfekou menna 7ad,Sat Dec 30 15:14:04 WAT 2017,twitter
negative,  @_TunisieTelecom❤️ allume plus que @ooredootn et @OrangeTN  ,Sat Dec 30 09:26:27 WAT 2017,twitter
positive,a3tiwna tél fi ras el 3am,Fri Dec  29 23:12:06 WAT 2017,twitter
negative,t7éshoum yfarkou fihm,Fri Dec  29 20:42:11 WAT 2017,twitter
negative,sala7 erizou 9alou chargi,Fri Dec  29 17:33:28 WAT 2017,twitter
negative,5iiit mala pub,Fri Dec  29 13:21:41 WAT 2017,twitter
negative,flousiii kol mchét,Fri Dec  29 10:23:19 WAT 2017,twitter
negative,Brabi andi l internet khalsa ou metimchichi kifech brabi haka,2018-01-02T10:08:48+0000,facebook
negative,Rani d5alit 3jeja gym mal9it chay,2018-01-01T14:52:43+0000,facebook
negative,Sahri Bahri 💪💪💪💪,2018-01-01T16:11:04+0000,facebook
negative,Bonne année brabyyy ENA nsob flous mayjiniii chayyy le bonus w le point merciii rbe7t chayyy fel 7altiin :/,2018-01-01T17:42:21+0000,facebook
positive,kol 3am w ooredoo fl 3alali ,2018-01-01T21:40:30+0000,facebook
negative,nchallah bi mounasabt l 3am el jdid ki nsob dinar nl9a 909 mech 300,2017-12-31T19:18:34+0000,facebook
negative,3emkom mabrok brabi yaorido 3lech kif notlob rakem mayhezech 3liya tne7oli clos mesold brabi jawboni.tawa.wmerci,2018-01-01T22:05:35+0000,facebook
positive,Bonne année svp kifech na3mel roming w temchi ooredoo fi Norvège ou nn,2018-01-01T19:55:02+0000,facebook
negative,Mfhmtch ene dima nsob w nhkii b tlf wil poinet iziduuch aandhom brcha hbssyn,2018-01-01T19:29:04+0000,facebook
negative,Chère Ooredoo sabit jom3a hethi 3 cartes w mjani 7ata bonus donc demain nchouf a9reb boutique sinon na7i ligne car je suis en colère,2018-01-01T19:20:51+0000,facebook
negative,7abit na3mel nessma mnajmtch w 7ata el morched 9ali mtnajmch ,2018-01-01T17:37:51+0000,facebook
positive,Bonne et.heureuse année 2o18 k0lo am wantom bi kir pour toutes mes chers amis rabi maakom inchallah bi tawfik,2018-01-01T16:47:31+0000,facebook
negative,Blhy 3lach ki nsob t5liouli e dinnar w tn7ouli el bonnis,2018-01-01T16:01:10+0000,facebook
negative,sabit 5d fi fin decembre wmajenich bonus 10000% de point merci. deja jeni message mta3 promo,2018-01-01T15:51:07+0000,facebook
negative,Chbini nsob 1000 tna7yoli 5. O0  chfama ?  Normal ntouma ta9smo ma3aya,2017-12-30T18:30:00+0000,facebook
negative,Bsara7a mamstou hal pub la3maltouhh f tv houwa yji w ena tirli hahah,2018-01-01T18:44:47+0000,facebook
positive,Ena en7eb nchrek n 7eb nereb7????,2018-01-01T19:53:12+0000,facebook
negative,pub maasta maasta maasta,2018-01-01T16:06:13+0000,facebook
negative,Wchnwa hethi tiki 13oo normal entom,2018-01-01T22:31:29+0000,facebook
negative,Chahrin kemlin wena kol nharin nsob fi carta w ma7abitouch ta3tiwni points merci!,2018-01-01T22:50:39+0000,facebook
negative,Telecom khir menkom m7afla ejaw  nhar kemel wentouma t9ousoulna t9oul wartha ??????????,2018-01-01T23:31:29+0000,facebook
positive,Bravo pour l'équipe de Marketing ????espérant bien que vous allez améliorer le street Marketing et le marketing événementiel ??????????????????????????????????????,2018-01-01T17:26:44+0000,facebook
negative,Ya5i normal ticket b1400 wilight b 1300 3lh sir9a hathi kol karahtouna fiha haliblad,2017-12-30T10:14:18+0000,facebook
positive,Bonne et heureuse année é tous ???????????????? .bravo et bonne continuation,2018-01-01T16:25:33+0000,facebook
negative,N7ib noumrouya 24 yarja3li .. sakartouh w bi3touh wamiya .. leh chmeta,2017-12-30T12:13:39+0000,facebook
negative,Yezi meser9a rakom latherltoulha tsob 5d flil esbe7 metel9a chaye yeser bsara7a  barcha na3rafhom badloukom wmazel chkoun bech ibadalkom zeda,2018-01-01T16:59:23+0000,facebook
negative,3andi modem 105DT 3 och hra sa3at connextion t9os wa7adha tarja3 ba3d 5 sweya3,2018-01-01T10:50:23+0000,facebook
negative,3leh lforfait ma3adch tchedni 3 jours 3la b3athhom berra8m ma nefta7ch kn fcbk,2017-12-30T07:23:25+0000,facebook
negative,Mafhemtch 7eja y'a ooredoo chbeha lforfait internet fisa3 toufa . Wlh ken nbadel puz 5iir,2018-01-01T21:02:41+0000,facebook
negative,Adem Ghribi howa o ela ena ghalta hhhhhh ????????men choqué menk l connécti terbah ;),2017-12-30T12:34:11+0000,facebook
positive,7ateni l cnx tchednich barcha w BL ra8m n7lch youtube fcb w chweya messangr,2017-12-29T21:24:08+0000,facebook
negative,"Et vous, bedlou l community manager mta3komn 5ater 9taltouna bill msata ??????",2017-12-30T08:54:47+0000,facebook
negative,Ooredoo kifech na3rf 9adeh mazelli mn GO .. 3andy 4g box 25Go/moins,2018-12-30T16:59:21+0000,facebook
negative,Bilhy kifech nbadel offre m'en kenet amigos n7eb nbadelha offre 1000% mithel tson dinar tal9a 11000 bonus 3la 5ater dima nsob w maya3tounich bonus,2017-12-29T09:18:55+0000,facebook
negative,Nchallah amkom mabrouk amma brabi endi haja bach engoulha yakhi tektbou exp.900mil.pour 7 jours ...ou fi.lekher toufa fi nhar ou lila weni el mezdakiya intaakom wallahi omri machoffet hal hala hathi brabi arhmouna chaw,2017-12-29T18:09:13+0000,facebook
positive,"Bonne année 2018  a toutes les tunisiens ,nitmanna nerbeh smartphone Samsung avec ooredoo",2017-12-29T12:09:20+0000,facebook
negative,Billahi kifeh forfait 1 mini jour 9asitou wma3tounich mega octet,2017-12-29T10:27:02+0000,facebook
negative,Brabi forfait 0.9 d alch mwjoud 7jours w ena hta 2 jours w t9ous conexion???!!,2018-01-01T16:59:23+0000,facebook
negative,La vérité mamsitha wmamsitha lichharaat lita3mlo fiha tconicti tirba7 .... tirba7 .... tirba7 za7 matnajmouch ti5sro wta3mlo 7aja fort publicité mizyana,2017-12-28T22:04:47+0000,facebook
negative,Brabi les points merci kent 300 nbadalha twali 1d chbeha tawa walet 300 frank 7ata nlem 2000 points nbadalha nal9aha 2000 frank  3lech???,2017-12-28T21:04:51+0000,facebook
negative,kount sob dinar nal9a 10.000 bounis w taw sob dinar nal9a 4000 ya5i 3lh,2017-12-29T18:28:28+0000,facebook
negative,3malt reclamation 3indi char mathama chay yezi min tnoufi9,2017-12-27T22:07:16+0000,facebook
negative,Ya3tikom wahf Kol mara thabto pub  thahro feha bhemaaa w tfadadounaa behaa,2017-12-27T20:31:46+0000,facebook
negative,Pub mastaaaaaaaa a ce point ma l9itouch idée ma khir chnowa médiocrité hethi,2017-12-29T12:40:30+0000,facebook
negative,Eli 5edmet el pub hedhi boite de prod wala boite aux lettres ?,2017-12-27T20:34:19+0000,facebook
negative,Yessir 5ayba il pub,2017-12-27T20:46:08+0000,facebook
negative,Brabi chbini ki nsoub tiker m3adich yzidou fiya fi 10ayam mta3 tari5 nihayet souli7iya,2017-12-27T14:00:00+0000,facebook
negative,Brabi kol macharchi solde tnahiyoli 500 3lech famoni chnowa tselohomli teso9omli chnowa???,2017-12-30T08:58:41+0000,facebook
negative,n7eb na5tar offre record y9oli indisponible ??,2017-12-27T18:54:37+0000,facebook
negative,3andi 14000 point merci mal9thomch a3lech na7itohem,2017-12-27T21:01:24+0000,facebook
negative,que de l'arnaque ooredoo ??,2017-12-27T18:19:43+0000,facebook
positive,Ooredoo bien,2017-12-27T14:26:22+0000,facebook
positive,Bien riseau,2017-12-27T19:11:10+0000,facebook
negative,Raj3ou offre 2000%,2017-12-27T16:58:56+0000,facebook
negative,Sore9 sabit karta 5000 w sakart telifoun ba3d ma 7alitou l9it 1800,2017-12-26T22:42:21+0000,facebook
negative,bsara7a la yézi connexion rzina w zid ser9a jhar nhar yeser walah ,2017-12-26T18:37:17+0000,facebook
negative,yezi blé kedhb,2017-12-26T20:50:42+0000,facebook
negative,Hhhh hani 3amiilha w ma rba7t shy :p,2017-12-26T15:00:35+0000,facebook
negative,3andi barcha ensoub sould wmay3tounich bouns lwh??,2017-12-26T17:32:32+0000,facebook
negative,La com est mediocre depuis quelques annees chez ooredoo. Ye hasra....une vraie pro etait en charge.,2017-12-27T22:41:37+0000,facebook
negative,"MELLé  ICHHAR ?!!TKELEF ,BARCHA ..$$.. yeser tkerwik iltawa met3elmtouch",2017-12-26T18:21:33+0000,facebook
negative,Ouuh amsat pub ritha f 7yatii ????,2017-12-26T16:15:43+0000,facebook
negative,Houma yerb7ou moch e7na hhh,2017-12-26T15:58:51+0000,facebook
negative,laken les articles illi fihom promo Y6 et le P9 lite non disponible ??,2017-12-26T17:06:37+0000,facebook
negative,3aslama Ooredoo brabi 3lach tesser9ou fi les points merci ? Ani il9et 0 point Ou jarti kif kif dima tjargi fih bel 5d 7aslet barcha poinets wel9at 0 point 9oli 3lech ?,2017-12-26T20:39:50+0000,facebook
negative,ya oredoo  chnya 7kayt al fix jdid ana mn bnzart 3andi 3 chhour wo ana machi jay 3la ooredoo ali fi bnzart 9alouli al stok wofa kan fama 7aja atwo nkalmouk twa 3andi 4 chhour ltwa ma kalmouni ya5i chnya l7kaya bjah rabi fasrouli ya ooredoo,2017-12-26T20:41:41+0000,facebook
negative,Dima namel. Fil commnteret wla Mara rab7teni 7ata bra7met lwaldinn mich kadou Rabi yehdikomm,2017-12-26T20:37:29+0000,facebook
negative,"la 3jeja la chay le reseau est encore trop faible dans plusieurs regions,  au centre du capitale meme !!!!",2017-12-26T19:46:20+0000,facebook
negative,Ya ooredo nsob denar thezouh w antrnet matemchich,2017-12-25T23:48:29+0000,facebook
negative,Ena el connection bel kif kif yothhrelha temchi kif ma yothhorlhech ma temchich,2017-12-25T18:37:35+0000,facebook
negative,A3lach tna7ouli fi flouse ena manich mcharka fi chay,2017-12-25T22:09:34+0000,facebook
negative,walahi mana7iha puce ooredo,2017-12-26T22:06:19+0000,facebook
negative,9imet laglag m3a ooredoo :),2017-12-25T21:00:09+0000,facebook
negative,Ena vraiment publicité ma3jbnich ????,2017-12-25T20:57:02+0000,facebook
negative,3leh billahi thrabtouni fi 500,2017-12-25T23:00:19+0000,facebook
positive,OORIDO VOUS ETE LES MEILLEUR,2017-12-25T15:10:12+0000,facebook
negative,Na9sou mel klem w wariwna kifh tnjmou tawrou el cnx w tnahiw el bugs w lags .....w ba3d ahkiw 3l gamers ;),2017-12-25T10:03:47+0000,facebook
negative,n7eb naref aleh nsob 250 mb  nconsomi 35 mb  linternet  toufa ... bi cle 3g ou 7alit statistique bech nchouf el consomation mte3i  ki weslet  35 mb linternet  wfet   n7eb nefhem chma3neha isir haka ??,2017-12-25T14:20:49+0000,facebook
negative,a7la masaa la7la ooreddo,2017-12-24T14:50:35+0000,facebook
negative,El mara ely fetet aamalt portabilité o badalt numruyaa aal ooredoo o mn wa9t'ha o el cnx temshy cv p malgré ény ky nrakb num 5dhytah ml boutique direct tkoun el cnx ahwén b baaaaaarsha !,2017-12-222T20:41:41+0000,facebook
negative,kifeh netsallef internet min 3andkom ha oreedoo?,2017-12-28T11:42:13+0000,facebook
positive,te7iyeti lik ooredoo,2017-12-23T18:40:15+0000,facebook
negative,brabi winhom ni9at  Merci,2017-12-23T11:50:47+0000,facebook
negative,"Fama freeze fel router, connecté à Internet Ama 7ata page la tet7al",2017-12-24T12:32:14+0000,facebook
negative,Akahaw teser9ou men mouwaten w ta3tiw el mouwaten e5er ..ken bataltou ser9a 5ir,2017-12-23T16:45:29+0000,facebook
negative,Ana n7eb na3mel internet wifi Ilimite w neb na3ref kifeh 7aja o5ra ena n7eb barcha ooredoo w man7ebch nbadalha ama 3andi mochkelt réseau d3if,2017-12-23T08:58:09+0000,facebook
negative,N7eb traj3ouli telifouni 3andou chahrin yetsala7 3andkom fel garantie w yeziw mel tbal3it,2017-12-23T14:32:02+0000,facebook
negative,Mamsetkom ?? tala3 soker hal pub,2017-12-30T11:27:37+0000,facebook
negative,Pfffffffffff barcha mssata,2017-12-27T21:37:59+0000,facebook
negative,choufouna 7al fi reseau tayi7 wa ba3id a3mlou icharkom,2017-12-27T21:37:59+0001,facebook
positive,Ooredoo bien,2017-12-27T21:37:59+0002,facebook
negative,OORIDO VOUS ETE LES MEILLEUR,2017-12-27T21:37:59+0003,facebook
negative,3aslema ENA n3adi forfait internet 7 jours w kol youm y9osoheli  ismeha forfait 7jours w hiya 1 jour 3leh brabi,2017-12-27T21:37:59+0004,facebook
negative,Bjeh rabi ma3adech t9oulo oorideoo a9wa réseau yezikom min elkedheb wallahi adh3ef réseau win ne5o pus bech nconecti biha ntayechha,2017-12-27T21:37:59+0005,facebook
negative,Ooredoo akber kedhba !!!! Ken ser9a w reseau y3ayef !!!!!!!!!,2017-12-27T21:37:59+0006,facebook
negative,Hhhh brabi te3tina 250 mega w tehzi man forfait mat3na w homa mathzouch manhom chniya fayda hhhh,2017-12-27T21:37:59+0007,facebook
positive,Merci ooridoo n7ebkom ,2017-12-27T21:37:59+0008,facebook
positive,#????_???? #ooredootunisie  ooredootunisie,2017-12-27T21:37:59+0009,facebook
positive,#????_???? Ooredoo Tunisie????????,2017-12-27T21:37:59+0010,facebook
positive,#????_???? Ooredoo Tunisie,2017-12-27T21:37:59+0011,facebook
positive,# ???? ????,2017-12-27T21:37:59+0012,facebook
negative,Sare9in barcha,2017-12-27T21:37:59+0013,facebook
positive,bravo service marketing ooredoo,2017-12-27T21:37:59+0014,facebook
positive,BRAVO Ooredoo Tunisie ??????,2017-12-27T21:37:59+0015,facebook
negative,ooredoo tesr9ek 3jeja,2017-12-27T21:37:59+0016,facebook
negative,Nsoooob flouse Fi modaame menhna toooofa minhnaaaaaaaaaaaaaaaaaaa ...,2017-12-27T21:37:59+0017,facebook
negative,OOREDOO bil 7a9 0 tousra9 barcha ????????,2017-12-27T21:37:59+0018,facebook
negative,Hana jewbna s7i7 winou ireb7 mala kedheb,2017-12-27T21:37:59+0019,facebook
negative,Mala ooredoo kan ser9a ana mouich enbdl ornge,2017-12-27T21:37:59+0020,facebook
negative,Ken kadheb nahr kol wentouma touchr9 etsoub dinar me tel9hi etsoub 5d te5dhou echatrha . . Na3ml fourfait mt3 joum3 tou93d 1jour w ken a5let 2jour wme nest3ml ken fb la en7le vidoi la chy .....yahlkoum rabiiii sar9a 3eni 3enk,2017-12-27T21:37:59+0021,facebook
negative,OOREDOO wallh wallh 0%,2017-12-27T21:37:59+0022,facebook
negative,Nheeb ns2el ala haja ena koul youm nsoub fi tlf w mayjinich hata frank bonus hata ki nsoub 5dt belhi kifeh namel bech y3oud yjini 4000 bonus 3la koul dinar ?,2017-12-27T21:37:59+0023,facebook
negative,Admin metfahem w yjweb n'as kol bravooo ama borjoulia 3aritoulna ryousna bonus ythoub w forfait jem3a w ana n7wel fih bech yet7al 7ata wfa w ma 7abech malgré apn riglo,2017-12-27T21:37:59+0024,facebook
negative,Akwa film ro3b wakt ta3mel forfait 2 jour w ba3d sa3a yjik msg votre forfait va épuisés,2017-12-27T21:37:59+0025,facebook
negative,Aqwa film roo3b  kif nchargi flouss w norqodd nqoum sbehh nlqa 0 mlm  hao erro3b yà bou qallb hhhhh,2017-12-27T21:37:59+0026,facebook
positive,n7ebek ooredoo,2017-12-27T21:37:59+0027,facebook
positive,J'adore Ooredoo,2017-12-27T21:37:59+0028,facebook
positive,Ooredoo <3  <3 !,2017-12-27T21:37:59+0029,facebook
positive,Jamilaaaaa!!!!,2017-12-27T21:37:59+0030,facebook
positive,Ahmed Ayari hhhhhh oreedoo fil clashet wahadha brojla,2017-12-27T21:37:59+0031,facebook
positive,dima fel mostawa,2017-12-27T21:37:59+0032,facebook
negative,ti choufoulna 7kayet e reseau nas 7absa men mbare7 ,2017-12-27T21:37:59+0033,facebook
negative,125 Mo ! Zaaaa7 rana fi 2017 rahou mch 1997.... Tadh7kou 3al 3bed... A3mlou 1 Go b 0.900 taw ness lkol tefra7... 9allou 125 Mo,2017-12-27T21:37:59+0034,facebook
negative,3amelt forfait b 900 e5thytouli il iflous wel internet ma5edmetch raj3ouli iflousi ????,2017-12-27T21:37:59+0035,facebook
positive,a7sen mouchaghel fi tounes ooredoo,2017-12-27T21:37:59+0036,facebook
negative,Forfait fisa3 youfa t3adi nhar filx wla 30 j,2017-12-27T21:37:59+0037,facebook
negative,raj3ouli floussi,2017-12-27T21:37:59+0038,facebook
negative,chbiha internet toufa fisa3 ??,2017-12-27T21:37:59+0039,facebook
negative,Connexion 3al 7itttt !!!!!,2017-12-27T21:37:59+0040,facebook
negative,sor3a mta3 internetkom wallet 0,2017-12-27T21:37:59+0041,facebook
negative,hhh t5admou fi am5a5kom 3la cha3b,2017-12-27T21:37:59+0042,facebook
negative,belehi alch haka nsoub dinar wla carta nal9ahch alch falestouni raw 7ram alikom flous li hazetou homli 7a9 tlfn,2017-12-27T21:37:59+0043,facebook
